idx	word	category	usable_count
0	after	Adverbs & Degree Words	7
1	again	Adverbs & Degree Words	8
2	already	Adverbs & Degree Words	8
3	always	Adverbs & Degree Words	7
4	before	Adverbs & Degree Words	16
5	here	Adverbs & Degree Words	7
6	later	Adverbs & Degree Words	12
7	maybe	Adverbs & Degree Words	6
8	never	Adverbs & Degree Words	7
9	now	Adverbs & Degree Words	9
10	often	Adverbs & Degree Words	6
11	really	Adverbs & Degree Words	7
12	soon	Adverbs & Degree Words	11
13	still	Adverbs & Degree Words	5
14	there	Adverbs & Degree Words	6
15	today	Adverbs & Degree Words	9
16	tomorrow	Adverbs & Degree Words	7
17	very	Adverbs & Degree Words	6
18	yesterday	Adverbs & Degree Words	10
19	bear	Animals	7
20	bee	Animals	6
21	bird	Animals	10
22	butterfly	Animals	5
23	cat	Animals	9
24	cow	Animals	9
25	deer	Animals	7
26	dinosaur	Animals	7
27	dog	Animals	11
28	duck	Animals	6
29	eagle	Animals	7
30	elephant	Animals	7
31	frog	Animals	7
32	giraffe	Animals	7
33	lion	Animals	5
34	monkey	Animals	7
35	pig	Animals	7
36	rabbit	Animals	8
37	snake	Animals	7
38	spider	Animals	6
39	tiger	Animals	9
40	turtle	Animals	5
41	whale	Animals	6
42	wolf	Animals	6
43	agree	Auxiliary & Modal Verbs	5
44	allow	Auxiliary & Modal Verbs	8
45	become	Auxiliary & Modal Verbs	5
46	can	Auxiliary & Modal Verbs	9
47	continue	Auxiliary & Modal Verbs	6
48	done	Auxiliary & Modal Verbs	5
49	finish	Auxiliary & Modal Verbs	9
50	get	Auxiliary & Modal Verbs	7
51	happen	Auxiliary & Modal Verbs	6
52	have	Auxiliary & Modal Verbs	6
53	keep	Auxiliary & Modal Verbs	6
54	must	Auxiliary & Modal Verbs	7
55	need	Auxiliary & Modal Verbs	6
56	require	Auxiliary & Modal Verbs	6
57	seem	Auxiliary & Modal Verbs	6
58	stay	Auxiliary & Modal Verbs	9
59	use	Auxiliary & Modal Verbs	5
60	want	Auxiliary & Modal Verbs	9
61	backpack	Clothing	8
62	belt	Clothing	7
63	bracelet	Clothing	7
64	clothes	Clothing	5
65	coat	Clothing	5
66	dress	Clothing	8
67	earring	Clothing	6
68	glasses	Clothing	9
69	hat	Clothing	9
70	helmet	Clothing	5
71	jacket	Clothing	7
72	jewelry	Clothing	6
73	necklace	Clothing	9
74	pants	Clothing	8
75	ring	Clothing	5
76	shirt	Clothing	12
77	shoes	Clothing	6
78	skirt	Clothing	6
79	socks	Clothing	6
80	sweater	Clothing	6
81	swimsuit	Clothing	5
82	tie	Clothing	7
83	underwear	Clothing	8
84	black	Colors	10
85	blue	Colors	8
86	brown	Colors	8
87	gray	Colors	6
88	green	Colors	7
89	orange	Colors	10
90	pink	Colors	9
91	purple	Colors	8
92	red	Colors	7
93	silver	Colors	6
94	tan	Colors	5
95	white	Colors	10
96	yellow	Colors	8
