======================================================================
GestureBridge — Dataset Curation Report
MIN_SAMPLES threshold  : 5
Target vocabulary size : ~800 words
Words requested        : 900
Words accepted         : 803
Words rejected         : 97
======================================================================

ACCEPTED WORDS BY CATEGORY
----------------------------------------------------------------------

[Adverbs & Degree Words]  (19 words)
  after                          usable=  7  total= 12
  again                          usable=  8  total= 16
  already                        usable=  8  total= 11
  always                         usable=  7  total= 14
  before                         usable= 16  total= 26
  here                           usable=  7  total= 15
  later                          usable= 12  total= 20
  maybe                          usable=  6  total= 11
  never                          usable=  7  total= 13
  now                            usable=  9  total= 21
  often                          usable=  6  total= 11
  really                         usable=  7  total= 12
  soon                           usable= 11  total= 16
  still                          usable=  5  total=  8
  there                          usable=  6  total= 13
  today                          usable=  9  total= 14
  tomorrow                       usable=  7  total= 13
  very                           usable=  6  total=  7
  yesterday                      usable= 10  total= 17

[Animals]  (24 words)
  bear                           usable=  7  total= 13
  bee                            usable=  6  total=  9
  bird                           usable= 10  total= 19
  butterfly                      usable=  5  total=  9
  cat                            usable=  9  total= 17
  cow                            usable=  9  total= 19
  deer                           usable=  7  total= 13
  dinosaur                       usable=  7  total=  9
  dog                            usable= 11  total= 20
  duck                           usable=  6  total= 11
  eagle                          usable=  7  total= 11
  elephant                       usable=  7  total= 13
  frog                           usable=  7  total= 11
  giraffe                        usable=  7  total= 12
  lion                           usable=  5  total= 11
  monkey                         usable=  7  total= 13
  pig                            usable=  7  total= 12
  rabbit                         usable=  8  total= 17
  snake                          usable=  7  total= 13
  spider                         usable=  6  total= 10
  tiger                          usable=  9  total= 13
  turtle                         usable=  5  total= 11
  whale                          usable=  6  total=  8
  wolf                           usable=  6  total= 10

[Auxiliary & Modal Verbs]  (18 words)
  agree                          usable=  5  total= 10
  allow                          usable=  8  total= 12
  become                         usable=  5  total= 10
  can                            usable=  9  total= 20
  continue                       usable=  6  total= 12
  done                           usable=  5  total=  7
  finish                         usable=  9  total= 21
  get                            usable=  7  total= 13
  happen                         usable=  6  total= 13
  have                           usable=  6  total= 17
  keep                           usable=  6  total= 10
  must                           usable=  7  total= 11
  need                           usable=  6  total= 18
  require                        usable=  6  total= 11
  seem                           usable=  6  total= 11
  stay                           usable=  9  total= 16
  use                            usable=  5  total= 14
  want                           usable=  9  total= 19

[Clothing]  (23 words)
  backpack                       usable=  8  total= 17
  belt                           usable=  7  total= 12
  bracelet                       usable=  7  total= 13
  clothes                        usable=  5  total= 25
  coat                           usable=  5  total=  9
  dress                          usable=  8  total= 15
  earring                        usable=  6  total= 13
  glasses                        usable=  9  total= 14
  hat                            usable=  9  total= 20
  helmet                         usable=  5  total=  9
  jacket                         usable=  7  total= 18
  jewelry                        usable=  6  total=  7
  necklace                       usable=  9  total= 13
  pants                          usable=  8  total= 15
  ring                           usable=  5  total=  9
  shirt                          usable= 12  total= 20
  shoes                          usable=  6  total= 14
  skirt                          usable=  6  total= 11
  socks                          usable=  6  total= 10
  sweater                        usable=  6  total= 10
  swimsuit                       usable=  5  total=  8
  tie                            usable=  7  total= 10
  underwear                      usable=  8  total= 11

[Colors]  (13 words)
  black                          usable= 10  total= 21
  blue                           usable=  8  total= 20
  brown                          usable=  8  total= 18
  gray                           usable=  6  total=  9
  green                          usable=  7  total= 17
  orange                         usable= 10  total= 21
  pink                           usable=  9  total= 19
  purple                         usable=  8  total= 18
  red                            usable=  7  total= 17
  silver                         usable=  6  total=  8
  tan                            usable=  5  total=  9
  white                          usable= 10  total= 20
  yellow                         usable=  8  total= 18

[Common Adjectives]  (68 words)
  amazing                        usable=  5  total=  8
  awful                          usable=  8  total= 12
  bad                            usable= 10  total= 16
  beautiful                      usable=  7  total= 10
  big                            usable=  9  total= 12
  bright                         usable=  6  total=  9
  busy                           usable=  5  total= 10
  cheap                          usable=  7  total= 12
  clean                          usable=  7  total= 12
  cold                           usable= 12  total= 16
  cool                           usable= 16  total= 21
  dangerous                      usable=  6  total=  7
  dark                           usable= 12  total= 19
  different                      usable=  8  total= 17
  dirty                          usable=  9  total= 13
  dry                            usable=  9  total= 13
  early                          usable=  6  total= 11
  easy                           usable=  6  total= 14
  empty                          usable=  5  total=  9
  expensive                      usable=  8  total= 13
  fast                           usable=  9  total= 13
  fat                            usable= 10  total= 15
  final                          usable=  5  total=  8
  first                          usable=  9  total= 16
  full                           usable= 10  total= 18
  funny                          usable=  5  total= 11
  general                        usable=  6  total=  9
  great                          usable=  9  total= 12
  hard                           usable=  6  total= 14
  heavy                          usable=  5  total=  9
  hot                            usable= 10  total= 21
  important                      usable=  8  total= 13
  last                           usable= 12  total= 19
  late                           usable=  8  total= 16
  light                          usable=  8  total= 15
  loud                           usable=  6  total= 10
  new                            usable=  9  total= 15
  next                           usable=  5  total= 10
  nice                           usable=  6  total= 14
  old                            usable=  7  total= 16
  perfect                        usable=  7  total= 10
  possible                       usable=  8  total= 13
  pretty                         usable=  5  total= 11
  quiet                          usable=  7  total= 13
  ready                          usable= 10  total= 13
  recent                         usable=  7  total=  8
  rough                          usable=  7  total= 11
  safe                           usable=  5  total=  8
  same                           usable=  9  total= 18
  short                          usable= 13  total= 19
  sick                           usable=  8  total= 17
  slow                           usable=  8  total= 13
  small                          usable=  8  total= 15
  smart                          usable=  8  total= 12
  smooth                         usable=  5  total=  8
  soft                           usable=  8  total= 12
  special                        usable=  8  total= 11
  specific                       usable=  6  total=  9
  strange                        usable=  7  total= 12
  strong                         usable=  8  total= 12
  stupid                         usable=  5  total= 11
  tall                           usable= 13  total= 20
  terrible                       usable=  6  total=  9
  thin                           usable= 16  total= 22
  ugly                           usable=  9  total= 15
  weak                           usable=  7  total= 12
  wet                            usable=  9  total= 14
  wonderful                      usable=  6  total=  9

[Common Nouns]  (62 words)
  art                            usable=  7  total= 12
  birthday                       usable=  6  total= 18
  camera                         usable=  5  total= 10
  card                           usable=  8  total=  9
  city                           usable=  9  total= 18
  clock                          usable=  5  total= 15
  community                      usable=  6  total= 10
  computer                       usable= 14  total= 30
  country                        usable=  9  total= 15
  day                            usable=  9  total= 15
  document                       usable=  7  total=  8
  event                          usable=  7  total= 12
  example                        usable= 11  total= 15
  experience                     usable=  7  total= 12
  fact                           usable=  6  total= 11
  form                           usable=  9  total= 12
  game                           usable=  6  total= 15
  government                     usable= 10  total= 15
  history                        usable=  8  total= 12
  idea                           usable=  8  total= 13
  image                          usable=  5  total=  9
  information                    usable=  7  total= 10
  internet                       usable=  8  total= 14
  key                            usable=  6  total=  9
  language                       usable= 10  total= 20
  law                            usable=  7  total= 14
  letter                         usable= 11  total= 18
  list                           usable=  9  total= 16
  math                           usable=  7  total= 11
  message                        usable=  5  total=  8
  mirror                         usable=  8  total= 13
  money                          usable=  6  total= 14
  music                          usable=  8  total= 15
  name                           usable=  6  total= 16
  number                         usable=  5  total= 12
  party                          usable=  9  total= 15
  phone                          usable=  5  total= 13
  picture                        usable=  6  total= 13
  place                          usable=  5  total= 10
  point                          usable=  9  total= 13
  problem                        usable=  9  total= 16
  radio                          usable=  6  total= 11
  reason                         usable=  7  total= 12
  result                         usable=  7  total=  9
  science                        usable=  7  total= 13
  sentence                       usable=  7  total= 13
  song                           usable=  5  total=  8
  story                          usable=  7  total= 12
  team                           usable=  6  total= 10
  technology                     usable=  5  total=  8
  television                     usable=  6  total= 11
  thing                          usable=  6  total= 10
  ticket                         usable=  6  total= 12
  time                           usable=  8  total= 19
  topic                          usable=  7  total= 10
  town                           usable=  9  total= 13
  trip                           usable=  5  total=  7
  vacation                       usable=  6  total= 13
  way                            usable=  5  total=  9
  wedding                        usable=  7  total= 12
  word                           usable=  8  total= 14
  world                          usable=  6  total= 12

[Common Verbs]  (97 words)
  answer                         usable=  7  total= 12
  approve                        usable=  8  total= 15
  argue                          usable= 10  total= 14
  ask                            usable=  7  total= 11
  break                          usable=  5  total= 10
  bring                          usable=  8  total= 14
  build                          usable=  6  total= 11
  buy                            usable=  9  total= 16
  call                           usable= 12  total= 16
  carry                          usable=  7  total= 10
  catch                          usable=  9  total= 14
  check                          usable= 11  total= 17
  climb                          usable=  5  total= 10
  close                          usable=  8  total= 15
  come                           usable=  6  total=  8
  copy                           usable=  8  total= 16
  cut                            usable=  8  total= 13
  dance                          usable=  7  total= 19
  decide                         usable=  9  total= 18
  describe                       usable=  7  total= 10
  develop                        usable=  8  total= 12
  discuss                        usable=  8  total= 15
  draw                           usable=  6  total= 14
  drink                          usable= 15  total= 35
  drive                          usable=  7  total= 15
  drop                           usable=  9  total= 15
  eat                            usable=  7  total= 19
  explain                        usable=  7  total= 13
  fight                          usable=  7  total= 13
  find                           usable=  8  total= 13
  fix                            usable=  6  total=  9
  fly                            usable=  8  total= 13
  follow                         usable=  9  total= 13
  forget                         usable=  7  total= 19
  give                           usable= 10  total= 19
  go                             usable= 15  total= 26
  hear                           usable=  9  total= 15
  hit                            usable=  6  total= 13
  hurry                          usable=  7  total= 14
  improve                        usable=  9  total= 14
  introduce                      usable=  6  total= 12
  invite                         usable=  5  total= 10
  jump                           usable=  6  total= 14
  know                           usable=  8  total= 16
  learn                          usable=  8  total= 17
  leave                          usable= 11  total= 16
  like                           usable= 10  total= 21
  listen                         usable=  7  total= 11
  lose                           usable=  9  total= 16
  make                           usable=  9  total= 15
  meet                           usable=  9  total= 19
  move                           usable= 10  total= 14
  open                           usable=  7  total= 10
  order                          usable= 10  total= 15
  organize                       usable=  5  total=  8
  paint                          usable=  7  total= 18
  pass                           usable=  7  total= 11
  pay                            usable=  7  total= 14
  plan                           usable=  7  total= 15
